isbn,title,author,year
0380795272,Krondor: The Betrayal,Raymond E. Feist,1998
1416949658,The Dark Is Rising,Susan Cooper,1973
1857231082,The Black Unicorn ,Terry Brooks,1987
0553803700,"I, Robot",Isaac Asimov,1950
080213825X,Four Blondes,Candace Bushnell,2000
0375913750,"Love, Stargirl",Jerry Spinelli,2007
074349671X,The Tenth Circle,Jodi Picoult,2006
0743454553,Vanishing Acts,Jodi Picoult,2005
0765317508,Aztec,Gary Jennings,1980
0142501085,Marlfox,Brian Jacques,1998
1442468351,Lady Midnight,Cassandra Clare,2016
1439152802,The Secret Keeper,Kate Morton,2012
0399153942,The Afghan,Frederick Forsyth,2006
0441017835,A Touch of Dead,Charlaine Harris,2009
0590554107,Daja's Book,Tamora Pierce,1998
1451648537,Steve Jobs,Walter Isaacson,2011
0590396560,Cold Fire,Tamora Pierce,2002
000723368X,Thanks for the Memories,Cecelia Ahern,2008
0803734735,Bitterblue,Kristin Cashore,2012
1592243002,Daisy Miller,Henry James,1878
055337849X,The Brothers K,David James Duncan,1992
0061150142,The Pact,Jodi Picoult,1998
0739328271,Plum Spooky,Janet Evanovich,2009
0062076108,Twice Tempted ,Jeaniene Frost,2013
039925675X,Legend,Marie Lu,2011
1595543414,Thr3e,Ted Dekker,2003
0446679097,The Lion's Game,Nelson DeMille,2000
0385339607,The Rainmaker,John Grisham,1995
1250012570,Eleanor & Park,Rainbow Rowell,2013
0786838655,The Lightning Thief,Rick Riordan,2005
0440225450,The Final Detail,Harlan Coben,1999
0743484355,A Cry in the Night,Mary Higgins Clark,1982
0670016780,Half Bad,Sally Green,2014
0140621733,Lady Windermere's Fan,Oscar Wilde,1893
0061662763,The Awakening,Kelley Armstrong,2009
006117758X,Ham on Rye,Charles Bukowski,1982
1423102266,The Van Alen Legacy ,Melissa de la Cruz,2009
067056172X,A Pocket for Corduroy,Don Freeman,1978
0385339097,The Street Lawyer,John Grisham,1998
0413757102,Revolutionary Road,Richard Yates,1961
0441569595,Neuromancer,William Gibson,1984
0684833395,Catch-22,Joseph Heller,1961
1416950737,sTORI Telling,Tori Spelling,2008
0140501827,The Snowy Day,Ezra Jack Keats,1962
0099285444,Invisible Monsters,Chuck Palahniuk,1999
0552555703,Noughts & Crosses,Malorie Blackman,2001
0671047345,Separation of Power,Vince Flynn,2001
0812995201,The Weight of Blood,Laura McHugh,2014
0812995341,Lincoln in the Bardo,George Saunders,2017
0553589377,Kiss of Midnight,Lara Adrian,2007
1476798176,Did You Ever Have a Family,Bill Clegg,2015
0006640613,The Tiger Who Came to Tea,Judith Kerr,1968
0395870828,Tuesday,David Wiesner,1991
1585678759,My Man Jeeves,P.G. Wodehouse,1919
0425241130,Hit List,Laurell K. Hamilton,2011
0743417321,Cabal,Clive Barker,1988
1598184318,The Sea Wolf,Jack London,1904
0312571259,One Good Dog,Susan  Wilson,2010
0345424646,A Knight of the Word ,Terry Brooks,1998
0393062627,The Lonely Polygamist,Brady Udall,2010
0312624670,Born at Midnight,C.C. Hunter,2011
0451235843,Lover Reborn,J.R. Ward,2012
1400079497,The Plot Against America,Philip Roth,2004
1857988094,I Am Legend ,Richard Matheson,1954
1423121309,Hex Hall,Rachel Hawkins,2010
0451169514,It,Stephen King,1986
0061053562,The Player of Games,Iain M. Banks,1988
0156949601,The Waves,Virginia Woolf,1931
0446617792,The Angel Experiment,James Patterson,2005
0060096187,Teen Idol,Meg Cabot,2004
0345484088,Armageddon's Children,Terry Brooks,2006
0345379063,Legend ,David Gemmell,1984
0060824972,The Thief,Megan Whalen Turner,1996
0312932804,Welcome to Temptation,Jennifer Crusie,1996
1857989341,The Gods Themselves,Isaac Asimov,1972
0425234339,Bullet,Laurell K. Hamilton,2010
0765326264,A Dog's Purpose ,W. Bruce Cameron,2010
0446580309,The Devil You Know,Mike Carey,2006
0812966929,number9dream,David Mitchell,2001
0062049879,A Week to Be Wicked,Tessa Dare,2012
0007198914,A Place Called Here,Cecelia Ahern,2006
0393307050,Master and Commander,Patrick O'Brian,1969
0802136834,The Six Wives of Henry VIII,Alison Weir,1980
0553590162,Industrial Magic,Kelley Armstrong,2004
0439441722,The Will of the Empress,Tamora Pierce,2005
0446611212,Violets Are Blue,James Patterson,2001
0061092193,Men at Arms,Terry Pratchett,1993
034541005X,The Power of One,Bryce Courtenay,1989
0670022411,A Discovery of Witches,Deborah Harkness,2011
1451683405,Free Will,Sam Harris,2012
0440242916,Faithless,Karin Slaughter,2005
0060586133,Three Wishes,Liane Moriarty,2003
0061006629,Fatherland,Robert   Harris,1992
0345519515,Never Love a Highlander,Maya Banks,2011
0316197084,Altered,Jennifer Rush,2013
0385341954,Fractured,Karin Slaughter,2008
0345485793,The Charlemagne Pursuit,Steve Berry,2008
0671888587,I'll Be Seeing You,Mary Higgins Clark,1993
006170654X,Wench,Dolen Perkins-Valdez,2009
0553560735,Red Mars,Kim Stanley Robinson,1993
0316234478,The 100,Kass Morgan,2013
1423140605,The Mark of Athena,Rick Riordan,2012
0224085611,Her Fearful Symmetry,Audrey Niffenegger,2009
0765335344,Vicious,"V.E. Schwab, Victoria Schwab",2013
1423108760,Bad Girls Don't Die,Katie Alender,2009
0553293427,Pebble in the Sky,Isaac Asimov,1950
0739437585,Safe Harbour,Danielle Steel,2003
068482535X,Lincoln,David Herbert Donald,1995
0141382899,The Titan's Curse,Rick Riordan,2007
0802151825,Tropic of Capricorn,Henry Miller,1938
0452287065,The Bluest Eye,Toni Morrison,1970
034552795X,Wife 22,Melanie Gideon,2008
069401298X,Frog and Toad Together,Arnold Lobel,1971
0060852577,The Lacuna,Barbara Kingsolver,2009
